product_code,period_date,total_users,active_users,new_users,churned_users,total_transactions,successful_transactions,failed_transactions,failed_txn_rate,transaction_volume,total_revenue,fee_revenue,uptime_percentage,downtime_hours,downtime_minutes,avg_response_time_ms,api_error_rate,total_complaints,resolved_complaints,csat_score,fraud_event_count,security_incident_count
MOBILE_01,2025-01-01,801950,551619,892,366,97912,93946,3966,4.0508,230529992.0,6685370.0,868368.0,98.84,0.0247,1.48,392,1.589,195,182,4.31,0,0
MOBILE_01,2025-01-02,802408,553321,908,318,98214,93570,4644,4.729,233528118.0,6772315.0,861546.0,98.97,0.0268,1.61,406,1.472,187,172,4.43,0,0
MOBILE_01,2025-01-03,796817,551928,870,372,97967,93308,4659,4.7562,244298874.0,7084667.0,955234.0,98.93,0.0307,1.84,394,1.437,161,147,4.21,0,0
MOBILE_01,2025-01-04,804489,572345,839,352,101591,97284,4307,4.2405,234472190.0,6799694.0,871799.0,99.04,0.0347,2.08,324,1.344,158,149,4.25,0,0
MOBILE_01,2025-01-05,804744,584967,762,299,103831,98506,5325,5.1295,232249870.0,6735246.0,835329.0,99.06,0.0305,1.83,373,1.427,180,168,4.16,0,0
MOBILE_01,2025-01-06,803164,558922,759,302,99208,94902,4306,4.3408,238277690.0,6910053.0,919900.0,99.2,0.0302,1.81,373,1.387,190,172,4.25,0,0
MOBILE_01,2025-01-07,791819,545372,839,273,96803,92298,4505,4.6548,242607896.0,7035629.0,871936.0,99.36,0.0275,1.65,422,1.11,154,138,4.26,0,0
MOBILE_01,2025-01-08,796531,541003,805,293,96028,91333,4695,4.8893,227157383.0,6587564.0,812558.0,99.1,0.0292,1.75,422,1.46,179,171,4.47,0,0
MOBILE_01,2025-01-09,796287,549648,749,252,97562,92642,4920,5.0439,219881003.0,6376549.0,841946.0,99.06,0.0318,1.91,406,1.234,217,217,4.14,0,0
MOBILE_01,2025-01-10,795226,557575,722,311,98969,93814,5155,5.2093,222765943.0,6460212.0,769505.0,99.13,0.0263,1.58,395,1.565,173,168,4.28,0,0
MOBILE_01,2025-01-11,794299,551682,1047,278,97923,92908,5015,5.122,240443360.0,6972857.0,899372.0,98.92,0.0282,1.69,372,1.194,161,149,4.4,0,0
MOBILE_01,2025-01-12,810641,578317,796,338,102651,97209,5442,5.3015,262715277.0,7618743.0,1011669.0,99.14,0.0348,2.09,336,1.677,182,157,4.26,0,0
MOBILE_01,2025-01-13,798122,591511,665,276,104993,99694,5299,5.047,249512108.0,7235851.0,956538.0,99.02,0.0343,2.06,310,1.392,177,165,4.3,0,0
MOBILE_01,2025-01-14,794999,558791,904,254,99185,94413,4772,4.8118,252366029.0,7318615.0,977019.0,99.0,0.034,2.04,381,1.441,171,151,4.26,0,0
MOBILE_01,2025-01-15,801251,572783,1103,410,101668,97122,4546,4.4724,235355136.0,6825299.0,901291.0,99.04,0.0335,2.01,306,1.373,160,141,4.14,0,0
MOBILE_01,2025-01-16,795103,562926,585,248,99919,94306,5613,5.6176,266235729.0,7720836.0,1149501.0,98.84,0.0233,1.4,457,1.234,167,154,4.18,0,0
MOBILE_01,2025-01-17,803553,564084,787,255,100124,95410,4714,4.7085,232290972.0,6736438.0,896384.0,99.05,0.0327,1.96,392,1.4,180,166,4.32,0,0
MOBILE_01,2025-01-18,800193,603813,989,338,107176,102346,4830,4.507,261277499.0,7577047.0,1008664.0,98.88,0.021,1.26,346,1.321,195,180,4.43,0,0
MOBILE_01,2025-01-19,798992,565523,768,326,100380,94995,5385,5.3651,243463438.0,7060440.0,931441.0,98.59,0.0268,1.61,457,1.142,138,127,4.27,0,0
MOBILE_01,2025-01-20,800519,550415,760,382,97698,92790,4908,5.0237,240652496.0,6978922.0,986370.0,99.44,0.0302,1.81,392,1.283,193,173,4.43,0,0
CARD_01,2025-01-01,603755,402202,709,268,67368,65207,2161,3.2078,275099217.0,15955755.0,1952696.0,98.44,0.0615,3.69,437,1.757,121,109,3.94,0,0
CARD_01,2025-01-02,596808,403604,700,260,67603,66058,1545,2.2868,284055435.0,16475215.0,2314856.0,98.36,0.046,2.76,395,2.354,94,84,4.11,0,0
CARD_01,2025-01-03,597319,409973,693,247,68670,66712,1958,2.8525,279054825.0,16185180.0,2088027.0,98.35,0.0705,4.23,464,2.356,113,95,4.01,0,0
